"P6040";"P6020";"P6175";"P1158S1";"DIA_REFERENCIA_2";"P1161S1A1";"P1161S1A2"
"1";20;"Masculino";"Público";"Tecnológico";"Domingo";3;0
"2";6;"Femenino";"Público";"Primaria";"Lunes";3;0
"3";23;"Masculino";"Público";"Universitario";"Lunes";2;0
"4";5;"Masculino";"Público";"Preescolar";"Lunes";1;0
"5";12;"Masculino";"Privado";"Secundaria o Media";"Domingo";0;30
"6";8;"Masculino";"Privado";"Primaria";"Festivo";1;0
"7";7;"Masculino";"Público";"Primaria";"Festivo";0;40
"8";19;"Femenino";"Público";"Secundaria o Media";"Festivo";2;30
"9";14;"Femenino";"Público";"Secundaria o Media";"Festivo";3;0
"10";11;"Masculino";"Público";"Secundaria o Media";"Domingo";4;0
"11";11;"Masculino";"Público";"Secundaria o Media";"Festivo";1;0
"12";5;"Femenino";"Privado";"Preescolar";"Lunes";1;0
"13";17;"Femenino";"Privado";"Universitario";"Festivo";2;0
"14";11;"Femenino";"Privado";"Primaria";"Festivo";1;30
"15";12;"Femenino";"Público";"Secundaria o Media";"Festivo";4;30
"16";12;"Masculino";"Público";"Secundaria o Media";"Festivo";2;0
"17";14;"Masculino";"Público";"Secundaria o Media";"Festivo";2;0
"18";11;"Masculino";"Público";"Primaria";"Festivo";0;30
"19";27;"Femenino";"Público";"Universitario";"Domingo";4;0
"20";10;"Masculino";"Público";"Primaria";"Domingo";4;0
"21";13;"Femenino";"Público";"Secundaria o Media";"Festivo";2;0
"22";8;"Femenino";"Público";"Primaria";"Miércoles";0;30
"23";7;"Femenino";"Público";"Primaria";"Miércoles";2;0
"24";10;"Femenino";"Público";"Secundaria o Media";"Festivo";1;30
"25";17;"Femenino";"Público";"Secundaria o Media";"Miércoles";1;0
"26";12;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;30
"27";10;"Masculino";"Público";"Primaria";"Miércoles";2;0
"28";9;"Femenino";"Público";"Primaria";"Miércoles";2;0
"29";14;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"30";6;"Femenino";"Público";"Primaria";"Domingo";4;30
"31";15;"Femenino";"Público";"Secundaria o Media";"Lunes";1;30
"32";8;"Masculino";"Público";"Primaria";"Lunes";1;0
"33";25;"Femenino";"Privado";"Maestría";"Miércoles";2;0
"34";11;"Femenino";"Público";"Primaria";"Miércoles";1;30
"35";18;"Masculino";"Público";"Técnico";"Festivo";2;0
"36";15;"Masculino";"Privado";"Secundaria o Media";"Miércoles";2;30
"37";17;"Femenino";"Público";"Secundaria o Media";"Miércoles";1;30
"38";23;"Femenino";"Privado";"Universitario";"Miércoles";2;0
"39";21;"Masculino";"Privado";"Universitario";"Miércoles";4;0
"40";17;"Masculino";"Privado";"Universitario";"Miércoles";2;0
"41";12;"Femenino";"Público";"Secundaria o Media";"Jueves";1;30
"42";10;"Femenino";"Público";"Primaria";"Jueves";3;0
"43";8;"Femenino";"Público";"Primaria";"Jueves";1;0
"44";11;"Masculino";"Público";"Secundaria o Media";"Jueves";1;0
"45";12;"Femenino";"Público";"Secundaria o Media";"Jueves";1;0
"46";8;"Femenino";"Público";"Primaria";"Miércoles";1;0
"47";12;"Masculino";"Público";"Primaria";"Jueves";2;0
"48";9;"Femenino";"Público";"Primaria";"Jueves";2;0
"49";22;"Masculino";"Público";"Técnico";"Miércoles";0;45
"50";19;"Femenino";"Público";"Secundaria o Media";"Jueves";1;0
"51";15;"Masculino";"Público";"Secundaria o Media";"Jueves";1;0
"52";13;"Femenino";"Público";"Secundaria o Media";"Jueves";1;30
"53";10;"Masculino";"Público";"Primaria";"Jueves";2;0
"54";15;"Femenino";"Público";"Secundaria o Media";"Jueves";2;0
"55";14;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"56";13;"Femenino";"Público";"Secundaria o Media";"Jueves";2;0
"57";20;"Masculino";"Privado";"Universitario";"Lunes";3;0
"58";10;"Femenino";"Público";"Primaria";"Miércoles";1;0
"59";10;"Masculino";"Público";"Primaria";"Festivo";2;0
"60";6;"Femenino";"Público";"Primaria";"Jueves";3;0
"61";16;"Femenino";"Público";"Secundaria o Media";"Festivo";3;0
"62";8;"Femenino";"Público";"Primaria";"Festivo";3;0
"63";5;"Masculino";"Público";"Preescolar";"Festivo";3;0
"64";32;"Masculino";"Público";"Universitario";"Jueves";3;0
"65";26;"Femenino";"Público";"Universitario";"Jueves";2;0
"66";9;"Masculino";"Público";"Primaria";"Festivo";2;30
"67";5;"Masculino";"Público";"Preescolar";"Festivo";1;30
"68";11;"Femenino";"Público";"Primaria";"Jueves";1;0
"69";16;"Masculino";"Público";"Secundaria o Media";"Festivo";2;0
"70";16;"Masculino";"Público";"Secundaria o Media";"Miércoles";3;0
"71";14;"Femenino";"Público";"Secundaria o Media";"Festivo";2;0
"72";9;"Masculino";"Público";"Primaria";"Festivo";2;0
"73";9;"Femenino";"Público";"Primaria";"Miércoles";3;0
"74";10;"Masculino";"Público";"Primaria";"Festivo";2;0
"75";8;"Masculino";"Público";"Primaria";"Miércoles";3;0
"76";49;"Femenino";"Privado";"Técnico";"Domingo";1;0
"77";5;"Masculino";"Público";"Preescolar";"Lunes";1;0
"78";15;"Masculino";"Público";"Secundaria o Media";"Lunes";1;0
"79";21;"Masculino";"Público";"Universitario";"Festivo";2;30
"80";37;"Femenino";"Público";"Técnico";"Festivo";1;0
"81";14;"Masculino";"Público";"Secundaria o Media";"Jueves";1;0
"82";11;"Masculino";"Público";"Primaria";"Lunes";1;0
"83";5;"Masculino";"Público";"Preescolar";"Lunes";2;0
"84";13;"Masculino";"Público";"Secundaria o Media";"Festivo";2;0
"85";27;"Masculino";"Privado";"Universitario";"Festivo";5;0
"86";36;"Masculino";"Público";"Primaria";"Miércoles";2;30
"87";10;"Femenino";"Público";"Primaria";"Viernes";2;0
"88";11;"Femenino";"Público";"Secundaria o Media";"Miércoles";1;0
"89";10;"Masculino";"Público";"Primaria";"Miércoles";1;0
"90";5;"Masculino";"Público";"Preescolar";"Miércoles";1;0
"91";22;"Femenino";"Público";"Universitario";"Miércoles";2;0
"92";16;"Femenino";"Público";"Secundaria o Media";"Jueves";3;0
"93";12;"Femenino";"Público";"Secundaria o Media";"Jueves";0;30
"94";12;"Femenino";"Público";"Primaria";"Jueves";1;0
"95";9;"Femenino";"Público";"Primaria";"Jueves";1;0
"96";6;"Femenino";"Público";"Primaria";"Jueves";0;30
"97";15;"Femenino";"Público";"Secundaria o Media";"Jueves";1;0
"98";13;"Femenino";"Público";"Secundaria o Media";"Jueves";3;0
"99";6;"Femenino";"Público";"Preescolar";"Viernes";0;30
"100";9;"Femenino";"Público";"Primaria";"Viernes";0;30
"101";10;"Femenino";"Público";"Secundaria o Media";"Sábado";2;0
"102";11;"Femenino";"Público";"Primaria";"Sábado";1;0
"103";11;"Masculino";"Público";"Primaria";"Miércoles";1;30
"104";16;"Femenino";"Privado";"Secundaria o Media";"Viernes";1;0
"105";10;"Masculino";"Público";"Primaria";"Sábado";1;0
"106";11;"Masculino";"Privado";"Primaria";"Jueves";0;30
"107";10;"Masculino";"Privado";"Primaria";"Jueves";1;0
